sample_name	file_name	input	filtered	denoised	merged	tabled	nonchim
Angel001-GK5_S246	Angel001-GK5_S246_L001_R1_001_noPrimers.fastq.gz	64617	63083	62689	60016	54324	45224
Angel001-soil6-1_S1	Angel001-soil6-1_S1_L001_R1_001_noPrimers.fastq.gz	43462	42573	41310	37232	37196	36453
Angel002-GK10_S247	Angel002-GK10_S247_L001_R1_001_noPrimers.fastq.gz	52640	51215	50821	46941	44095	41934
Angel002-soil6-2_S2	Angel002-soil6-2_S2_L001_R1_001_noPrimers.fastq.gz	25287	24755	24014	22135	22126	21531
Angel003-RK5_S248	Angel003-RK5_S248_L001_R1_001_noPrimers.fastq.gz	45768	44717	44355	41655	40896	36801
Angel003-soil6-3_S3	Angel003-soil6-3_S3_L001_R1_001_noPrimers.fastq.gz	27921	27275	26691	24771	24767	24353
Angel004-RK6_S249	Angel004-RK6_S249_L001_R1_001_noPrimers.fastq.gz	55854	54657	54328	51380	50705	46538
Angel004-soil5-1_S4	Angel004-soil5-1_S4_L001_R1_001_noPrimers.fastq.gz	28584	27995	27037	24512	24470	23980
Angel005-RK9_S250	Angel005-RK9_S250_L001_R1_001_noPrimers.fastq.gz	58843	57640	57192	52479	52029	48034
Angel005-soil5-2_S5	Angel005-soil5-2_S5_L001_R1_001_noPrimers.fastq.gz	32297	31599	30886	28611	28599	28070
Angel006-RK10_S251	Angel006-RK10_S251_L001_R1_001_noPrimers.fastq.gz	54254	52486	52030	48014	47065	43508
Angel006-soil5-3_S6	Angel006-soil5-3_S6_L001_R1_001_noPrimers.fastq.gz	32631	31946	31278	28920	28881	28507
Angel007-RK11-GK11_S252	Angel007-RK11-GK11_S252_L001_R1_001_noPrimers.fastq.gz	54803	53257	52663	48433	45732	44169
Angel007-soil4-1_S7	Angel007-soil4-1_S7_L001_R1_001_noPrimers.fastq.gz	2281	2234	2045	1733	1730	1683
Angel008-RK12_S253	Angel008-RK12_S253_L001_R1_001_noPrimers.fastq.gz	55162	53861	53364	46611	43716	40759
Angel008-soil4-2_S8	Angel008-soil4-2_S8_L001_R1_001_noPrimers.fastq.gz	23680	23103	22450	20493	20468	20014
Angel009-GB9_S254	Angel009-GB9_S254_L001_R1_001_noPrimers.fastq.gz	49307	48025	47348	43633	40492	38229
Angel009-soil4-3_S9	Angel009-soil4-3_S9_L001_R1_001_noPrimers.fastq.gz	30059	29404	28792	26490	26481	26090
Angel010-GA13_S10	Angel010-GA13_S10_L001_R1_001_noPrimers.fastq.gz	43854	43118	42922	41024	40860	39183
Angel010-GB10_S255	Angel010-GB10_S255_L001_R1_001_noPrimers.fastq.gz	48721	47500	47150	43994	40376	38485
Angel011-GA14_S11	Angel011-GA14_S11_L001_R1_001_noPrimers.fastq.gz	41798	41095	40890	39671	39341	37948
Angel011-GB11_S256	Angel011-GB11_S256_L001_R1_001_noPrimers.fastq.gz	42809	41635	41244	38487	34508	33149
Angel012-GA15_S12	Angel012-GA15_S12_L001_R1_001_noPrimers.fastq.gz	51784	50908	50675	48795	48500	46262
Angel012-GB12_S257	Angel012-GB12_S257_L001_R1_001_noPrimers.fastq.gz	48650	47402	46775	41633	36202	31391
Angel013-GA16_S13	Angel013-GA16_S13_L001_R1_001_noPrimers.fastq.gz	47661	46783	46627	45679	44652	40855
Angel013-RB9_S258	Angel013-RB9_S258_L001_R1_001_noPrimers.fastq.gz	56141	54953	54292	49327	48667	46364
Angel014-GB13_S14	Angel014-GB13_S14_L001_R1_001_noPrimers.fastq.gz	49686	48784	48616	47487	44566	42411
Angel014-RB10_S259	Angel014-RB10_S259_L001_R1_001_noPrimers.fastq.gz	55075	53871	53165	48076	46734	44498
Angel015-GB14_S15	Angel015-GB14_S15_L001_R1_001_noPrimers.fastq.gz	47905	47028	46730	45767	36808	35618
Angel015-RB11_S260	Angel015-RB11_S260_L001_R1_001_noPrimers.fastq.gz	52392	51167	50446	46123	45545	43954
Angel016-GB15_S16	Angel016-GB15_S16_L001_R1_001_noPrimers.fastq.gz	48812	47868	47677	46312	43802	41007
Angel016-RB12_S261	Angel016-RB12_S261_L001_R1_001_noPrimers.fastq.gz	7892	7717	7586	7021	6867	6680
Angel017-GA9_S262	Angel017-GA9_S262_L001_R1_001_noPrimers.fastq.gz	45356	44128	43572	39984	38018	36233
Angel017-GB16_S17	Angel017-GB16_S17_L001_R1_001_noPrimers.fastq.gz	70082	68878	68546	66406	62889	58616
Angel018-GA10_S263	Angel018-GA10_S263_L001_R1_001_noPrimers.fastq.gz	44406	43186	42739	39435	37051	35762
Angel018-GK13_S18	Angel018-GK13_S18_L001_R1_001_noPrimers.fastq.gz	70203	69103	68774	66933	63399	58463
Angel019-GA11_S264	Angel019-GA11_S264_L001_R1_001_noPrimers.fastq.gz	47260	45950	45343	41669	39959	38703
Angel019-GK14_S19	Angel019-GK14_S19_L001_R1_001_noPrimers.fastq.gz	64206	63121	62835	61171	56667	50939
Angel020-GA12_S265	Angel020-GA12_S265_L001_R1_001_noPrimers.fastq.gz	45887	44796	44370	41171	38352	36525
Angel020-GK15_S20	Angel020-GK15_S20_L001_R1_001_noPrimers.fastq.gz	74233	73068	72784	70988	65761	59821
Angel021-GK16_S21	Angel021-GK16_S21_L001_R1_001_noPrimers.fastq.gz	61556	60343	59790	56141	54038	52304
Angel021-RA9_S266	Angel021-RA9_S266_L001_R1_001_noPrimers.fastq.gz	44163	43135	42567	38800	38292	36790
Angel022-blank-Extr_S22	Angel022-blank-Extr_S22_L001_R1_001_noPrimers.fastq.gz	210	204	191	182	182	182
Angel022-RA10_S267	Angel022-RA10_S267_L001_R1_001_noPrimers.fastq.gz	43537	42439	41860	38206	37811	36150
Angel023-NTC_S23	Angel023-NTC_S23_L001_R1_001_noPrimers.fastq.gz	408	401	377	371	371	371
Angel023-RA11_S268	Angel023-RA11_S268_L001_R1_001_noPrimers.fastq.gz	44488	43495	42833	39028	38502	37270
Angel024-RA12_S269	Angel024-RA12_S269_L001_R1_001_noPrimers.fastq.gz	64983	63444	62778	57013	56299	53290
Angel024-RA13_S24	Angel024-RA13_S24_L001_R1_001_noPrimers.fastq.gz	56891	55866	55554	52760	52663	49556
Angel025-K1-3-1_S270	Angel025-K1-3-1_S270_L001_R1_001_noPrimers.fastq.gz	41236	40077	38614	33007	32964	32133
Angel025-RA14_S25	Angel025-RA14_S25_L001_R1_001_noPrimers.fastq.gz	70636	69540	69087	65840	65639	60514
Angel026-K1-3-2_S271	Angel026-K1-3-2_S271_L001_R1_001_noPrimers.fastq.gz	44059	42955	41540	35913	35838	34940
Angel026-RA15_S26	Angel026-RA15_S26_L001_R1_001_noPrimers.fastq.gz	56240	55333	54933	52497	52150	50605
Angel027-K1-3-3_S272	Angel027-K1-3-3_S272_L001_R1_001_noPrimers.fastq.gz	58641	57026	55211	48710	48573	47495
Angel027-RA16_S27	Angel027-RA16_S27_L001_R1_001_noPrimers.fastq.gz	63806	62715	62386	59565	59229	56552
Angel028-B1-3-1_S273	Angel028-B1-3-1_S273_L001_R1_001_noPrimers.fastq.gz	40869	39827	38714	33856	33737	33123
Angel028-RB13_S28	Angel028-RB13_S28_L001_R1_001_noPrimers.fastq.gz	61461	60409	60164	57373	57207	53484
Angel029-B1-3-2_S274	Angel029-B1-3-2_S274_L001_R1_001_noPrimers.fastq.gz	46168	44971	43853	38549	38428	37654
Angel029-RB14_S29	Angel029-RB14_S29_L001_R1_001_noPrimers.fastq.gz	59395	58386	58049	55335	55202	50984
Angel030-B1-3-3_S275	Angel030-B1-3-3_S275_L001_R1_001_noPrimers.fastq.gz	45877	44678	43457	37895	37685	36693
Angel030-RB15_S30	Angel030-RB15_S30_L001_R1_001_noPrimers.fastq.gz	48496	47520	47247	46233	35986	34708
Angel031-A1-3-1_S276	Angel031-A1-3-1_S276_L001_R1_001_noPrimers.fastq.gz	54350	52886	51468	45286	45163	44306
Angel031-RB16_S31	Angel031-RB16_S31_L001_R1_001_noPrimers.fastq.gz	62827	61678	61401	59346	59072	56197
Angel032-A1-3-2_S277	Angel032-A1-3-2_S277_L001_R1_001_noPrimers.fastq.gz	59251	57741	56314	49690	49582	48664
Angel032-RK13_S32	Angel032-RK13_S32_L001_R1_001_noPrimers.fastq.gz	56818	55782	55405	52604	52423	47762
Angel033-A1-3-3_S278	Angel033-A1-3-3_S278_L001_R1_001_noPrimers.fastq.gz	33489	32610	31731	28041	27990	27442
Angel033-RK14_S33	Angel033-RK14_S33_L001_R1_001_noPrimers.fastq.gz	58379	57264	56707	51815	51486	47954
Angel034-ExtrCTRL_S279	Angel034-ExtrCTRL_S279_L001_R1_001_noPrimers.fastq.gz	359	345	325	316	316	316
Angel034-RK15_S34	Angel034-RK15_S34_L001_R1_001_noPrimers.fastq.gz	38879	38111	37643	34571	34303	32014
Angel035-CTRL_S280	Angel035-CTRL_S280_L001_R1_001_noPrimers.fastq.gz	983	956	943	941	941	941
Angel035-RK16_S35	Angel035-RK16_S35_L001_R1_001_noPrimers.fastq.gz	57352	56312	55971	54060	53881	51343
Angel036-mock-Com_S36	Angel036-mock-Com_S36_L001_R1_001_noPrimers.fastq.gz	47753	46595	46408	46200	46199	44479
Eva1_GB5_S210	Eva1_GB5_S210_L001_R1_001_noPrimers.fastq.gz	36725	35718	35403	33156	31752	30267
Eva1-GK1_S183	Eva1-GK1_S183_L001_R1_001_noPrimers.fastq.gz	38094	37577	37155	33802	33341	28971
Eva10_RA6_S219	Eva10_RA6_S219_L001_R1_001_noPrimers.fastq.gz	37048	36144	35796	33774	33356	31907
Eva10-RK2_S192	Eva10-RK2_S192_L001_R1_001_noPrimers.fastq.gz	41097	40597	40185	36959	36568	32470
Eva11_B1-2-1_S220	Eva11_B1-2-1_S220_L001_R1_001_noPrimers.fastq.gz	42156	40885	39320	35192	34997	34242
Eva11-GB2_S193	Eva11-GB2_S193_L001_R1_001_noPrimers.fastq.gz	48858	48314	47903	44957	44231	38459
Eva12_NTC_S221	Eva12_NTC_S221_L001_R1_001_noPrimers.fastq.gz	1583	1537	1464	1440	1440	1432
Eva12-RB2_S194	Eva12-RB2_S194_L001_R1_001_noPrimers.fastq.gz	44935	44341	43747	40504	40401	37048
Eva13_GK7_S222	Eva13_GK7_S222_L001_R1_001_noPrimers.fastq.gz	42364	41218	40817	38930	37743	34083
Eva13-GA2_S195	Eva13-GA2_S195_L001_R1_001_noPrimers.fastq.gz	52488	51767	51271	48307	46630	39641
Eva14_RK7_S223	Eva14_RK7_S223_L001_R1_001_noPrimers.fastq.gz	40796	39757	39416	37193	36626	33148
Eva14-RA2_S196	Eva14-RA2_S196_L001_R1_001_noPrimers.fastq.gz	52095	51452	50853	45869	44773	39189
Eva15_GB7_S224	Eva15_GB7_S224_L001_R1_001_noPrimers.fastq.gz	40270	39160	38696	36216	34508	32682
Eva15-B1_S197	Eva15-B1_S197_L001_R1_001_noPrimers.fastq.gz	22599	22246	21444	16426	16376	15789
Eva16_RB7_S225	Eva16_RB7_S225_L001_R1_001_noPrimers.fastq.gz	39856	38848	38559	36386	36057	32311
Eva16-GF_S198	Eva16-GF_S198_L001_R1_001_noPrimers.fastq.gz	3526	3481	3350	3065	3064	3011
Eva17_GA7_S226	Eva17_GA7_S226_L001_R1_001_noPrimers.fastq.gz	40731	39635	39339	37379	36860	35710
Eva17-GK3_S199	Eva17-GK3_S199_L001_R1_001_noPrimers.fastq.gz	41943	41429	41042	38267	37822	32543
Eva18_RA7_S227	Eva18_RA7_S227_L001_R1_001_noPrimers.fastq.gz	43774	42677	42277	39801	39521	37640
Eva18-RK3_S200	Eva18-RK3_S200_L001_R1_001_noPrimers.fastq.gz	41389	40913	40628	38231	37956	33521
Eva19_A1-2-1_S228	Eva19_A1-2-1_S228_L001_R1_001_noPrimers.fastq.gz	43685	42451	40880	36505	36451	35840
Eva19-GB3_S201	Eva19-GB3_S201_L001_R1_001_noPrimers.fastq.gz	48232	47670	47144	43485	43047	36921
Eva2_RB5_S211	Eva2_RB5_S211_L001_R1_001_noPrimers.fastq.gz	34645	33732	33475	31383	31244	27746
Eva2-RK1_S184	Eva2-RK1_S184_L001_R1_001_noPrimers.fastq.gz	41430	40920	40392	37387	37130	33003
Eva20_GK8_S229	Eva20_GK8_S229_L001_R1_001_noPrimers.fastq.gz	41150	39916	39657	38293	34288	32179
Eva20-RB3_S202	Eva20-RB3_S202_L001_R1_001_noPrimers.fastq.gz	44044	43528	43132	39982	39731	36224
Eva21_RK8_S230	Eva21_RK8_S230_L001_R1_001_noPrimers.fastq.gz	39259	38249	37875	35167	34673	31806
Eva21-GA3_S203	Eva21-GA3_S203_L001_R1_001_noPrimers.fastq.gz	48011	47415	47047	44471	43221	36066
Eva22_GB8_S231	Eva22_GB8_S231_L001_R1_001_noPrimers.fastq.gz	45471	44220	43876	41268	40149	36999
Eva22-RA3_S204	Eva22-RA3_S204_L001_R1_001_noPrimers.fastq.gz	45399	44839	44501	41752	41437	37853
Eva23_RB8_S232	Eva23_RB8_S232_L001_R1_001_noPrimers.fastq.gz	47891	46825	46429	43519	43419	38726
Eva23-A1_S205	Eva23-A1_S205_L001_R1_001_noPrimers.fastq.gz	47565	46910	45722	36453	36409	35118
Eva24_GA8_S233	Eva24_GA8_S233_L001_R1_001_noPrimers.fastq.gz	49045	47767	47536	45859	45035	41334
Eva24-NTC_S206	Eva24-NTC_S206_L001_R1_001_noPrimers.fastq.gz	12757	12553	12175	9763	9743	9476
Eva25_RA8_S234	Eva25_RA8_S234_L001_R1_001_noPrimers.fastq.gz	45409	44242	43874	41348	41037	37344
Eva25-GK4_S207	Eva25-GK4_S207_L001_R1_001_noPrimers.fastq.gz	42076	41593	41172	38114	37502	32219
Eva26_K1-1-2_S235	Eva26_K1-1-2_S235_L001_R1_001_noPrimers.fastq.gz	41627	40522	38677	28902	28764	27668
Eva26-RK4_S208	Eva26-RK4_S208_L001_R1_001_noPrimers.fastq.gz	42666	42136	41729	39041	38705	34325
Eva27_K1-2-2_S236	Eva27_K1-2-2_S236_L001_R1_001_noPrimers.fastq.gz	46801	45474	43264	33772	33561	32370
Eva27-GB4_S209	Eva27-GB4_S209_L001_R1_001_noPrimers.fastq.gz	44701	44176	43731	40606	40272	34074
Eva28-RB4_S210	Eva28-RB4_S210_L001_R1_001_noPrimers.fastq.gz	51599	50942	50350	45931	45280	39583
Eva29_B1-1-2_S238	Eva29_B1-1-2_S238_L001_R1_001_noPrimers.fastq.gz	36337	35293	33834	26164	25976	24981
Eva29-GA4_S211	Eva29-GA4_S211_L001_R1_001_noPrimers.fastq.gz	46607	46051	45712	43461	42840	34874
Eva3_GA5_S212	Eva3_GA5_S212_L001_R1_001_noPrimers.fastq.gz	40039	39039	38674	35898	35324	33857
Eva3-GB1_S185	Eva3-GB1_S185_L001_R1_001_noPrimers.fastq.gz	44586	44059	43752	41651	40964	35710
Eva30_B1-2-2_S239	Eva30_B1-2-2_S239_L001_R1_001_noPrimers.fastq.gz	47686	46389	44573	35338	35163	33440
Eva30-RA4_S212	Eva30-RA4_S212_L001_R1_001_noPrimers.fastq.gz	49358	48670	48153	44180	42803	38881
Eva32_A1-1-2_S241	Eva32_A1-1-2_S241_L001_R1_001_noPrimers.fastq.gz	48682	47298	45263	35475	35377	34278
Eva33_A1-2-2_S242	Eva33_A1-2-2_S242_L001_R1_001_noPrimers.fastq.gz	48641	47260	45304	34533	34435	33114
Eva4_RA5_S213	Eva4_RA5_S213_L001_R1_001_noPrimers.fastq.gz	40804	39712	39314	36115	35598	32855
Eva4-RB1_S186	Eva4-RB1_S186_L001_R1_001_noPrimers.fastq.gz	40713	40200	39850	35591	35462	31016
Eva5_K1-2-1_S214	Eva5_K1-2-1_S214_L001_R1_001_noPrimers.fastq.gz	37182	36127	34422	28247	28156	27428
Eva5-GA1_S187	Eva5-GA1_S187_L001_R1_001_noPrimers.fastq.gz	42007	41510	41201	38967	38198	30442
Eva6_blank_extr_S215	Eva6_blank_extr_S215_L001_R1_001_noPrimers.fastq.gz	410	397	371	349	347	345
Eva6-RA1_S188	Eva6-RA1_S188_L001_R1_001_noPrimers.fastq.gz	43526	42952	42491	38135	37484	31677
Eva7_GB6_S216	Eva7_GB6_S216_L001_R1_001_noPrimers.fastq.gz	39265	38309	38053	36660	35719	33327
Eva7-K1_S189	Eva7-K1_S189_L001_R1_001_noPrimers.fastq.gz	27150	26751	26008	21579	21451	20021
Eva8_RB6_S217	Eva8_RB6_S217_L001_R1_001_noPrimers.fastq.gz	32963	32117	31819	30061	28119	26779
Eva8-RF-K_S190	Eva8-RF-K_S190_L001_R1_001_noPrimers.fastq.gz	2395	2362	2268	2113	2111	2086
Eva9_GA6_S218	Eva9_GA6_S218_L001_R1_001_noPrimers.fastq.gz	43198	42019	41576	39165	38809	37634
Eva9-GK2_S191	Eva9-GK2_S191_L001_R1_001_noPrimers.fastq.gz	35847	35386	34931	31624	31193	26830
Re-Eva1-GK1_S1	Re-Eva1-GK1_S1_L001_R1_001_noPrimers.fastq.gz	69025	66451	65434	58938	58082	50516
Re-Eva10-RK2_S10	Re-Eva10-RK2_S10_L001_R1_001_noPrimers.fastq.gz	59288	57209	56400	51387	50792	45089
Re-Eva11-GB2_S11	Re-Eva11-GB2_S11_L001_R1_001_noPrimers.fastq.gz	30493	29363	29042	26920	26432	22982
Re-Eva12-RB2_S12	Re-Eva12-RB2_S12_L001_R1_001_noPrimers.fastq.gz	29598	28502	28022	25557	25492	23361
Re-Eva13-GA2_S13	Re-Eva13-GA2_S13_L001_R1_001_noPrimers.fastq.gz	26839	25775	25343	23502	22565	19504
Re-Eva14-RA2_S14	Re-Eva14-RA2_S14_L001_R1_001_noPrimers.fastq.gz	19625	18962	18598	16531	16135	14194
Re-Eva15-B1_S15	Re-Eva15-B1_S15_L001_R1_001_noPrimers.fastq.gz	30963	29644	28476	21726	21662	20856
Re-Eva16-GF_S16	Re-Eva16-GF_S16_L001_R1_001_noPrimers.fastq.gz	16881	16231	15844	14552	14526	14360
Re-Eva17-GK3_S17	Re-Eva17-GK3_S17_L001_R1_001_noPrimers.fastq.gz	45052	43212	42527	38292	37735	32549
Re-Eva18-RK3_S18	Re-Eva18-RK3_S18_L001_R1_001_noPrimers.fastq.gz	21330	20572	20313	18835	18732	16638
Re-Eva19-GB3_S19	Re-Eva19-GB3_S19_L001_R1_001_noPrimers.fastq.gz	41376	39787	39160	35592	35229	30321
Re-Eva2-RK1_S2	Re-Eva2-RK1_S2_L001_R1_001_noPrimers.fastq.gz	33761	32477	32010	29106	28869	25706
Re-Eva20-RB3_S20	Re-Eva20-RB3_S20_L001_R1_001_noPrimers.fastq.gz	36794	35480	34964	32217	32010	29373
Re-Eva21-GA3_S21	Re-Eva21-GA3_S21_L001_R1_001_noPrimers.fastq.gz	17950	17231	16994	15716	15206	12772
Re-Eva22-RA3_S22	Re-Eva22-RA3_S22_L001_R1_001_noPrimers.fastq.gz	24698	23808	23457	21649	21532	19840
Re-Eva23-A1_S23	Re-Eva23-A1_S23_L001_R1_001_noPrimers.fastq.gz	41590	39924	38633	30367	30326	29243
Re-Eva24-NTC_S24	Re-Eva24-NTC_S24_L001_R1_001_noPrimers.fastq.gz	35430	33979	32997	26585	26532	25687
Re-Eva25-GK4_S25	Re-Eva25-GK4_S25_L001_R1_001_noPrimers.fastq.gz	48511	46623	45901	42039	41359	35506
Re-Eva26-RK4_S26	Re-Eva26-RK4_S26_L001_R1_001_noPrimers.fastq.gz	41427	39973	39466	36545	36188	32031
Re-Eva27-GB4_S27	Re-Eva27-GB4_S27_L001_R1_001_noPrimers.fastq.gz	34559	33278	32827	29912	29649	25210
Re-Eva28-RB4_S28	Re-Eva28-RB4_S28_L001_R1_001_noPrimers.fastq.gz	26705	25741	25357	22711	22398	19619
Re-Eva29-GA4_S29	Re-Eva29-GA4_S29_L001_R1_001_noPrimers.fastq.gz	28268	27217	26923	24612	24255	19854
Re-Eva3-GB1_S3	Re-Eva3-GB1_S3_L001_R1_001_noPrimers.fastq.gz	65016	62466	61750	58256	57158	49372
Re-Eva30-RA4_S30	Re-Eva30-RA4_S30_L001_R1_001_noPrimers.fastq.gz	28391	27313	26933	24385	23617	21723
Re-Eva4-RB1_S4	Re-Eva4-RB1_S4_L001_R1_001_noPrimers.fastq.gz	49931	48103	47415	42226	42085	36331
Re-Eva5-GA1_S5	Re-Eva5-GA1_S5_L001_R1_001_noPrimers.fastq.gz	34105	32735	32312	30045	29311	23577
Re-Eva6-RA1_S6	Re-Eva6-RA1_S6_L001_R1_001_noPrimers.fastq.gz	47555	45762	45026	40046	39381	33114
Re-Eva7-K1_S7	Re-Eva7-K1_S7_L001_R1_001_noPrimers.fastq.gz	34975	33550	32454	26556	26404	24741
Re-Eva8-RF-K_S8	Re-Eva8-RF-K_S8_L001_R1_001_noPrimers.fastq.gz	9387	9012	8817	8314	8302	8213
Re-Eva9-GK2_S9	Re-Eva9-GK2_S9_L001_R1_001_noPrimers.fastq.gz	98815	94863	93227	84149	82812	71171
