"","Order","Winter","Spring","Estimate diff.","low CI","high CI","Winter","Summer","Estimate diff.","low CI","high CI","Winter","Autumn","Estimate diff.","low CI","high CI","Spring","Summer","Estimate diff.","low CI","high CI","Spring","Autumn","Estimate diff.","low CI","high CI","Summer","Autumn","Estimate diff.","low CI","high CI"
"1","Opitutales",0.685579876661775,0.39902625222281,-0.283258047156428,-0.470758919488674,-0.10173900396783,0.685579876661775,0.823223824121749,0.173872251997681,0.0222721541351578,0.355757173637572,0.685579876661775,0.544675523962854,-0.153499280258427,-0.341880226191467,0.0377027929478033,0.39902625222281,0.823223824121749,-0.493912696506675,-0.639944965687681,-0.301225913074786,0.39902625222281,0.544675523962854,0.125907572254365,-0.0434784583248227,0.304016245276545,0.823223824121749,0.544675523962854,-0.371557526393639,-0.533362489365609,-0.166269786881756
"2","Verrucomicrobiales",1.59785541129098,1.09782255747632,-0.987709026636578,-1.39904636883224,-0.420475599674964,1.59785541129098,0.415397663784165,-1.27135314690938,-1.54837100124591,-0.886639821207552,1.59785541129098,0.524701744568853,-1.11886417765103,-1.46235213893669,-0.72135804214554,1.09782255747632,0.415397663784165,0.0671345666891826,-0.113891151074712,0.280664633094759,1.09782255747632,0.524701744568853,-0.0349646566174267,-0.263010078462554,0.18585400217134,0.415397663784165,0.524701744568853,0.0388553364489822,-0.0713906261102323,0.20752474129969
"3","Sphingobacteriales",13.4787951733982,11.2367434067101,-2.31167023156809,-6.53875488258061,1.53861599297712,13.4787951733982,1.84888024433795,-11.9815367741009,-13.477544886096,-10.248668697665,13.4787951733982,5.37584091852649,-8.62012024067133,-11.8284006934556,-5.41118627055869,11.2367434067101,1.84888024433795,8.83431645519201,6.39273483000014,12.6934621019189,11.2367434067101,5.37584091852649,-6.0060737752081,-9.31588204151667,-1.55448403577314,1.84888024433795,5.37584091852649,3.29510091539082,0.532339882085286,5.64604332389421
"4","Flavobacteriales",18.1520535638151,4.9758322172536,-15.0211661577302,-18.1616739776108,-11.8776691084328,18.1520535638151,0.566020015129838,-19.4366818626722,-22.6824237212088,-16.4873057792941,18.1520535638151,7.24265672115549,-13.180744657903,-16.8414072022962,-7.8415699110112,4.9758322172536,0.566020015129838,3.82248465158666,2.34093025881806,4.80804959524489,4.9758322172536,7.24265672115549,0.565158170587604,-1.49252000894942,3.97692768991526,0.566020015129838,7.24265672115549,3.63394081299366,2.04140370626259,8.29218059414803
"5","Chitinophagales",2.45101127996093,4.28698355011863,1.51990452470765,0.447932246810411,2.60144637759408,2.45101127996093,6.71413038271144,3.35164833406273,2.49341719692251,4.48799484179306,2.45101127996093,9.04906037749574,4.89897269592576,1.95017810744881,7.74843712396809,4.28698355011863,6.71413038271144,-1.97455014234994,-3.39993882266136,-0.765304730245699,4.28698355011863,9.04906037749574,3.12947980634324,0.519009669911079,6.52829709845205,6.71413038271144,9.04906037749574,0.70914646965215,-1.71884358910438,4.12375876609015
"6","Cytophagales",2.98696825774722,3.0448027515423,-0.0584919155334321,-0.614616056982381,0.561555096986599,2.98696825774722,3.60936678614745,0.433741612602211,-0.316948664527818,1.26515282691895,2.98696825774722,2.31710386978553,-0.897683577118007,-1.57902204441282,-0.308792858863772,3.0448027515423,3.60936678614745,-0.47031732093446,-1.29641372333153,0.278322406682585,3.0448027515423,2.31710386978553,-0.895011357357531,-1.5505952431466,-0.166113875854878,3.60936678614745,2.31710386978553,-1.37856768078482,-2.22751808800518,-0.551085962404367
"7","Micrococcales",6.23797147564522,10.5138844517766,4.00576466764257,1.4924812623546,6.01721806354931,6.23797147564522,10.7044415763155,0.253713162006859,-1.78404049233192,4.1135278163612,6.23797147564522,5.39776940329118,-1.59634565989086,-3.062075643133,-0.0446813782713703,10.5138844517766,10.7044415763155,1.60301726170456,-1.92592133923947,6.01732022097041,10.5138844517766,5.39776940329118,-5.35982093243815,-7.61428440621557,-2.30722492940459,10.7044415763155,5.39776940329118,-1.63227806301219,-4.96651187065864,-0.00763130150163454
"8","Micromonosporales",0.255303720816352,0.872640174323984,0.544902387537921,0.339950720381026,0.752741511024857,0.255303720816352,2.13575297215461,1.44324607315364,1.19032612956265,1.9144538067924,0.255303720816352,0.831289649001079,0.320134055546569,0.132071312238656,0.822221434484887,0.872640174323984,2.13575297215461,-0.935206376562315,-1.35164984109958,-0.600282033906974,0.872640174323984,0.831289649001079,-0.114297264919244,-0.432456247387755,0.241949270159739,2.13575297215461,0.831289649001079,-1.04182586135646,-1.44583890223093,-0.694700099098743
"9","Propionibacteriales",0.235306775952322,1.18501899850441,0.858376096141927,0.627745552420049,1.22190905963359,0.235306775952322,1.56570623603582,0.99802373922922,0.597415300134935,1.63006966709991,0.235306775952322,0.488832087563349,0.0510414797092812,-0.00267076023090957,0.216327288498465,1.18501899850441,1.56570623603582,-0.167016554740832,-0.686761215980604,0.266824221227384,1.18501899850441,0.488832087563349,-0.707074730705767,-0.993871891837216,-0.300983248005142,1.56570623603582,0.488832087563349,-0.723114379866941,-1.27618378803076,-0.427123803826494
"10","Myxococcales",2.0237120338866,1.94947374130768,-0.255997237197336,-0.910049049806449,0.62115988107723,2.0237120338866,6.08776592916617,3.95935998486709,3.13718240509045,4.77757681422936,2.0237120338866,1.89915763671203,-0.229365833706187,-0.920435611031825,0.661944504078858,1.94947374130768,6.08776592916617,-4.19599474348008,-5.01280480319394,-3.15210670616526,1.94947374130768,1.89915763671203,-0.02135233665342,-0.804840621377191,0.852756404075367,6.08776592916617,1.89915763671203,-4.1598403791579,-5.02105911349232,-3.07153443556487
"11","Xanthomonadales",0.612127321292973,2.3548048502664,1.23262109982992,0.840549339024685,1.96095828640326,0.612127321292973,4.77057777686597,2.3609715262601,1.6141955297681,3.20224251429307,0.612127321292973,5.96291125138095,1.98089183435767,1.4506866259334,4.02391398015738,2.3548048502664,4.77057777686597,-1.09290943368467,-2.04259626029585,-0.275927007249386,2.3548048502664,5.96291125138095,1.10259768474566,0.0890312874572186,2.72499451016444,4.77057777686597,5.96291125138095,0.0642109520513222,-1.16829011875941,1.32110596092125
"12","Betaproteobacteriales",12.5388010627751,8.96748306737305,-3.85474672577093,-5.58568842170848,-1.95829724499716,12.5388010627751,9.52942997221901,-3.33232547923307,-5.11683838555097,-1.50649906517641,12.5388010627751,8.94701645885407,-3.64176585974056,-5.86042494081829,-1.5187076963868,8.96748306737305,9.52942997221901,-0.517616344324731,-2.26109390065809,1.19277379406711,8.96748306737305,8.94701645885407,-0.0513185066551557,-2.12489028106703,2.19254844657106,9.52942997221901,8.94701645885407,-0.784926299541529,-2.56120125067145,1.29859295994884
"13","Enterobacteriales",1.24855066052259,1.60058187046344,-0.20279518205509,-0.548242880841933,0.319798027858127,1.24855066052259,0.358827068876835,-0.708682325334581,-0.954555128688466,-0.461930129527667,1.24855066052259,5.38213002076553,0.947888504516434,-0.0776023740261515,2.8679955665563,1.60058187046344,0.358827068876835,0.450470848101941,0.137392345747324,1.01992185298589,1.60058187046344,5.38213002076553,0.986919726596805,0.0870678402880399,2.70552194968038,0.358827068876835,5.38213002076553,1.67994237802233,0.612076975259015,3.40153888920749
"14","Pseudomonadales",9.14748894262955,12.7430183795661,3.75212931167253,0.16460849347785,7.20384502268674,9.14748894262955,2.67934053051368,-6.39725061046894,-8.15087925722278,-4.29191308170795,9.14748894262955,10.324285601437,1.39088981133502,-2.50470291250672,5.34673035584365,12.7430183795661,2.67934053051368,10.443295919214,6.93712910985949,13.0665815517706,12.7430183795661,10.324285601437,-2.17526436456646,-6.70825782886986,1.44943742251543,2.67934053051368,10.324285601437,8.4407664322233,4.30816602827413,10.7987176244145
"15","Sphingomonadales",2.80145185236399,4.29935179952527,1.53327327865262,0.475250925971298,2.49094548227069,2.80145185236399,3.29492389327552,0.507350291272233,-0.184591439072188,1.19560415638781,2.80145185236399,3.68400150680407,0.414872992137291,-0.453057366217245,1.40877539251761,4.29935179952527,3.29492389327552,0.984613950661852,-0.0517035127868461,2.02195183328371,4.29935179952527,3.68400150680407,-0.893178827540427,-2.04391169155012,0.291367132318659,3.29492389327552,3.68400150680407,-0.0959157252814515,-0.93616145627687,0.956643426591642
"16","Caulobacterales",4.23236609918671,2.3622453181832,-1.57480542252037,-2.95855313803044,-0.367613294312234,4.23236609918671,2.08975928920029,-1.68544290056482,-3.01051587019446,-0.600934297698785,4.23236609918671,1.45756410427819,-2.46625834129097,-3.64967167867524,-1.30210766116863,2.3622453181832,2.08975928920029,0.156605849983882,-0.569496957871842,0.922503995608024,2.3622453181832,1.45756410427819,-0.652944892047585,-1.84953329017974,0.0328825398911725,2.08975928920029,1.45756410427819,-0.649680624209852,-1.52624168843316,0.0173807413180072
"17","Rhizobiales",5.90921795158292,10.39791873977,4.28373272123147,2.28467634252015,6.56440262867558,5.90921795158292,14.1866788764922,6.65918684560037,4.77089717557212,9.35588883181678,5.90921795158292,9.68084764615265,2.74303669267642,1.14520186035409,4.75298671424884,10.39791873977,14.1866788764922,-3.10613553222196,-6.26393756920158,-0.460467099799582,10.39791873977,9.68084764615265,-0.904004157203364,-3.84476800027427,1.72147595339191,14.1866788764922,9.68084764615265,-4.17415056565925,-6.91027756546563,-1.62148105446959
