Abundance	Domain	Phylum	Class	Order	Family	Genus
95	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
794	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
21	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1769	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
65	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
117	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
61	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
957	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
13	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
65	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
2051	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
59	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
92	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
3166	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
149	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
8	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
6	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
82	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
6	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
3	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
2	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
1962	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
4	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
9	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
2	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
1	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
28	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
12	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Laetinaevia
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
44	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Kurtzmanomyces
91	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
73	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Unclassified
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
10	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
13	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Unclassified
41	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
4	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola
1	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia
6	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
17	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Unclassified
7	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
9	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Dictyocheirospora
3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Minimelanolocus
11	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiales_fam_Incertae_sedis	Mrakiella
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
36	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
2	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Yurkovia
1	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
3	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiales_fam_Incertae_sedis	Mrakiella
