Sample name,Workshop,Season,Run,Type,Sample type,Field,Field,Replicate,Control,Weight extracted (g),Extr. Date,Elution volume (ml),Dilution,Conc. (ng/ul),ng DNA,ng DNA g-1,260/280 [nm],260/230 [nm],Nanodrop Conc. (ng/ul),PCR products_ITS_send for seq,Gene,Read1_file
GK1,1,Winter,1,Teabag,Green tea,Kolluvisol,Luvisol,1,FALSE,0.26,18.4.2018,100,1,101,10120,39686.2,1.87,2,173,23.5.2018; 24.5.2018,ITS,Eva1-GK1_S13_L001_R1_001.fastq.gz
GK1,1,Winter,2,Teabag,Green tea,Kolluvisol,Luvisol,1,FALSE,0.26,18.4.2018,100,1,101,10120,39686.2,1.87,2,173,23.5.2018; 24.5.2018,ITS,Petrova001-GK1_S203_L001_R1_001.fastq.gz
GK2,1,Winter,1,Teabag,Green tea,Kolluvisol,Luvisol,2,FALSE,0.26,18.4.2018,100,1,110,11035.2,42772,1.87,1.78,177,23.5.2018; 24.5.2018,ITS,Eva9-GK2_S21_L001_R1_001.fastq.gz
GK3,1,Winter,1,Teabag,Green tea,Kolluvisol,Luvisol,3,FALSE,0.24,18.4.2018,100,1,97,9652.4,39559.2,1.83,1.64,149,23.5.2018; 24.5.2018,ITS,Eva17-GK3_S29_L001_R1_001.fastq.gz
GK4,1,Winter,1,Teabag,Green tea,Kolluvisol,Luvisol,4,FALSE,0.25,18.4.2018,100,1,102,10159.8,40639.1,1.86,1.84,172,23.5.2018; 24.5.2018,ITS,Eva25-GK4_S37_L001_R1_001.fastq.gz
RK1,1,Winter,1,Teabag,Rooibos,Kolluvisol,Luvisol,1,FALSE,0.26,18.4.2018,100,1,24,2416.4,9476,1.69,0.91,56,23.5.2018; 24.5.2018,ITS,Eva2-RK1_S14_L001_R1_001.fastq.gz
RK1,1,Winter,2,Teabag,Rooibos,Kolluvisol,Luvisol,1,FALSE,0.26,18.4.2018,100,1,24,2416.4,9476,1.69,0.91,56,23.5.2018; 24.5.2018,ITS,Petrova002-RK1_S204_L001_R1_001.fastq.gz
RK2,1,Winter,1,Teabag,Rooibos,Kolluvisol,Luvisol,2,FALSE,0.26,18.4.2018,100,1,28,2764.5,10471.7,1.77,1.14,49,23.5.2018; 24.5.2018,ITS,Eva10-RK2_S22_L001_R1_001.fastq.gz
RK3,1,Winter,1,Teabag,Rooibos,Kolluvisol,Luvisol,3,FALSE,0.25,18.4.2018,100,1,16,2416.4,9665.5,1.58,0.69,36,23.5.2018; 24.5.2018,ITS,Eva18-RK3_S30_L001_R1_001.fastq.gz
RK4,1,Winter,1,Teabag,Rooibos,Kolluvisol,Luvisol,4,FALSE,0.25,18.4.2018,100,1,12,2764.5,11147.3,1.54,0.6,31,24.5.2018,ITS,Eva26-RK4_S38_L001_R1_001.fastq.gz
GB1,1,Winter,1,Teabag,Green tea,Braunerde,Cambisol,1,FALSE,0.25,18.4.2018,100,1,95,1585.7,6342.9,1.83,1.61,169,23.5.2018; 24.5.2018,ITS,Eva3-GB1_S15_L001_R1_001.fastq.gz
GB2,1,Winter,1,Teabag,Green tea,Braunerde,Cambisol,2,FALSE,0.25,18.4.2018,100,1,102,1153,4706.1,1.82,1.73,149,23.5.2018; 24.5.2018,ITS,Eva11-GB2_S23_L001_R1_001.fastq.gz
GB3,1,Winter,1,Teabag,Green tea,Braunerde,Cambisol,3,FALSE,0.24,18.4.2018,100,1,111,1153,4764.5,1.87,2.01,182,23.5.2018; 24.5.2018,ITS,Eva19-GB3_S31_L001_R1_001.fastq.gz
GB4,1,Winter,1,Teabag,Green tea,Braunerde,Cambisol,4,FALSE,0.25,18.4.2018,100,1,109,9523.1,37640.8,1.86,1.92,165,23.5.2018; 24.5.2018,ITS,Eva27-GB4_S39_L001_R1_001.fastq.gz
RB1,1,Winter,1,Teabag,Rooibos,Braunerde,Cambisol,1,FALSE,0.26,19.4.2018,100,1,24,10179.7,39152.6,1.53,0.7,54,23.5.2018; 24.5.2018,ITS,Eva4-RB1_S16_L001_R1_001.fastq.gz
RB2,1,Winter,1,Teabag,Rooibos,Braunerde,Cambisol,2,FALSE,0.24,19.4.2018,100,1,22,10179.7,42415.3,1.66,0.99,54,23.5.2018; 24.5.2018,ITS,Eva12-RB2_S24_L001_R1_001.fastq.gz
RB3,1,Winter,1,Teabag,Rooibos,Braunerde,Cambisol,3,FALSE,0.24,19.4.2018,100,1,32,11050.1,46042.1,1.67,1.02,63,23.5.2018; 24.5.2018,ITS,Eva20-RB3_S32_L001_R1_001.fastq.gz
RB4,1,Winter,1,Teabag,Rooibos,Braunerde,Cambisol,4,FALSE,0.26,19.4.2018,100,1,33,11050.1,42500.4,1.73,1.36,59,23.5.2018; 24.5.2018,ITS,Eva28-RB4_S40_L001_R1_001.fastq.gz
GA1,1,Winter,1,Teabag,Green tea,Auboden,Fluvisol,1,FALSE,0.26,19.4.2018,100,1,103,10900.9,41926.5,1.84,1.95,143,23.5.2018; 24.5.2018,ITS,Eva5-GA1_S17_L001_R1_001.fastq.gz
GA2,1,Winter,1,Teabag,Green tea,Auboden,Fluvisol,2,FALSE,0.26,19.4.2018,100,1,89,2441.2,9389.4,1.84,1.93,134,23.5.2018; 24.5.2018,ITS,Eva13-GA2_S25_L001_R1_001.fastq.gz
GA3,1,Winter,1,Teabag,Green tea,Auboden,Fluvisol,3,FALSE,0.25,19.4.2018,100,1,86,2441.2,9765,1.86,2.02,127,23.5.2018; 24.5.2018,ITS,Eva21-GA3_S33_L001_R1_001.fastq.gz
GA4,1,Winter,1,Teabag,Green tea,Auboden,Fluvisol,4,FALSE,0.26,19.4.2018,100,1,81,2207.5,8490.3,1.85,1.95,115,23.5.2018; 24.5.2018,ITS,Eva29-GA4_S41_L001_R1_001.fastq.gz
RA1,1,Winter,1,Teabag,Rooibos,Auboden,Fluvisol,1,FALSE,0.26,19.4.2018,100,1,33,2207.5,8490.3,1.73,1.3,59,23.5.2018; 24.5.2018,ITS,Eva6-RA1_S18_L001_R1_001.fastq.gz
RA2,1,Winter,1,Teabag,Rooibos,Auboden,Fluvisol,2,FALSE,0.25,19.4.2018,100,1,26,3184.8,12739.3,1.58,0.75,56,23.5.2018; 24.5.2018,ITS,Eva14-RA2_S26_L001_R1_001.fastq.gz
RA3,1,Winter,1,Teabag,Rooibos,Auboden,Fluvisol,3,FALSE,0.27,19.4.2018,100,1,28,3321.6,12302.3,1.68,0.98,52,23.5.2018; 24.5.2018,ITS,Eva22-RA3_S34_L001_R1_001.fastq.gz
RA4,1,Winter,1,Teabag,Rooibos,Auboden,Fluvisol,4,FALSE,0.25,19.4.2018,100,1,23,10299,41196.2,1.57,0.75,46,23.5.2018; 24.5.2018,ITS,Eva30-RA4_S42_L001_R1_001.fastq.gz
K1,1,Winter,1,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.26,19.4.2018,100,1,18,8891.4,34197.8,1.57,1.55,30,4.6.2018,ITS,Eva7-K1_S19_L001_R1_001.fastq.gz
K1,1,Winter,2,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.26,19.4.2018,100,1,18,8891.4,34197.8,1.57,1.55,30,4.6.2018,ITS,Petrova030-K1-1-1_S232_L001_R1_001.fastq.gz
B1,1,Winter,1,Soil,Soil,Braunerde,Cambisol,1,FALSE,0.26,19.4.2018,100,1,28,10299,39611.7,1.77,1.72,47,4.6.2018,ITS,Eva15-B1_S27_L001_R1_001.fastq.gz
A1,1,Winter,1,Soil,Soil,Auboden,Fluvisol,1,FALSE,0.23,19.4.2018,100,1,11,8891.4,38658.4,1.81,1.54,20,4.6.2018,ITS,Eva23-A1_S35_L001_R1_001.fastq.gz
A1-1-2,1,Winter,2,Soil,Soil,Kolluvisol,Luvisol,2,FALSE,0.27,1.8.2018,100,1,19,8600,9675.16,1.85,1.59,34.2,NA,ITS,Petrova034-A1-1-2_S236_L001_R1_001.fastq.gz
B1-1-2,1,Winter,2,Soil,Soil,Braunerde,Cambisol,2,FALSE,0.26,1.8.2018,100,1,56,8100,10492.65,1.83,1.79,39.5,NA,ITS,Petrova031-B1-1-2_S233_L001_R1_001.fastq.gz
K1-1-2,1,Winter,2,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.26,1.8.2018,100,1,35,3300,8972.64,1.83,1.6,24.4,NA,ITS,Petrova028-K1-1-2_S230_L001_R1_001.fastq.gz
RF,1,Winter,1,Teabag,Rooibos,Unburied,Unburied,1,Biological,0.26,19.4.2018,100,1,0,8563.2,32935.2,0.79,0.19,3,24.5.2018,ITS,Eva8-RF-K_S20_L001_R1_001.fastq.gz
GF,1,Winter,1,Teabag,Green tea,Unburied,Unburied,1,Biological,0.25,19.4.2018,100,1,0,3286.8,13147.2,1.22,0.26,4.4,NA,ITS,Eva16-GF_S28_L001_R1_001.fastq.gz
GF,1,Winter,2,Teabag,Green tea,Unburied,Unburied,1,Biological,0.25,19.4.2018,100,1,0,3286.8,13147.2,1.22,0.26,4.4,NA,ITS,Petrova033-GF_S235_L001_R1_001.fastq.gz
NTC,1,Winter,1,Control,Control,NA,NA,1,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,24.5.2018,ITS,Eva24-NTC_S36_L001_R1_001.fastq.gz
GK5,2,Spring,3,Teabag,Green tea,Kolluvisol,Luvisol,1,FALSE,0.22,22.10.2018,100,1,14,1400,6363636.36,1.91,1.89,63.1,29.11.2018; 30.11.2018,ITS,Roey001-GK5_S146_L001_R1_001.fastq.gz
GK6,2,Spring,2,Teabag,Green tea,Kolluvisol,Luvisol,2,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,ITS,NA
GK7,2,Spring,2,Teabag,Green tea,Kolluvisol,Luvisol,3,FALSE,0.25,3.7.2018,100,1,240,23964.7,96631.8,1.89,2.05,128,13.7.2018; 31.7.2018,ITS,Petrova015-GK7_S217_L001_R1_001.fastq.gz
GK8,2,Spring,2,Teabag,Green tea,Kolluvisol,Luvisol,4,FALSE,0.21,3.7.2018,100,1,268,26797.5,128217.7,1.9,2.01,138.5,13.7.2018; 31.7.2018,ITS,Petrova022-GK8_S224_L001_R1_001.fastq.gz
RK5,2,Spring,3,Teabag,Rooibos,Kolluvisol,Luvisol,1,FALSE,0.24,22.10.2018,100,1,5,500,2083333.33,1.67,0.87,12.3,29.11.2018; 30.11.2018,ITS,Roey003-RK5_S148_L001_R1_001.fastq.gz
RK6,2,Spring,3,Teabag,Rooibos,Kolluvisol,Luvisol,2,FALSE,0.24,22.10.2018,100,1,13,1300,5416666.67,1.81,1.19,26.3,29.11.2018; 30.11.2018,ITS,Roey004-RK6_S149_L001_R1_001.fastq.gz
RK7,2,Spring,2,Teabag,Rooibos,Kolluvisol,Luvisol,3,FALSE,0.22,3.7.2018,100,1,43,4320.9,19551.6,1.82,1.15,53.6,13.7.2018; 1.8.2018,ITS,Petrova016-RK7_S218_L001_R1_001.fastq.gz
RK8,2,Spring,2,Teabag,Rooibos,Kolluvisol,Luvisol,4,FALSE,0.26,3.7.2018,100,1,41,4079.7,15691.3,1.88,1.28,37.4,13.7.2018; 1.8.2018,ITS,Petrova023-RK8_S225_L001_R1_001.fastq.gz
GB5,2,Spring,2,Teabag,Green tea,Braunerde,Cambisol,1,FALSE,0.25,3.7.2018,100,1,313,31301,124705,1.89,2.12,190.2,13.7.2018; 31.7.2018,ITS,Petrova003-GB5_S205_L001_R1_001.fastq.gz
GB6,2,Spring,2,Teabag,Green tea,Braunerde,Cambisol,2,FALSE,0.25,3.7.2018,100,1,311,31141.2,126077.6,1.89,2.03,125.3,13.7.2018; 31.7.2018,ITS,Petrova009-GB6_S211_L001_R1_001.fastq.gz
GB7,2,Spring,2,Teabag,Green tea,Braunerde,Cambisol,3,FALSE,0.21,3.7.2018,100,1,217,21666.5,103667.3,1.9,2.02,180.5,13.7.2018; 31.7.2018,ITS,Petrova017-GB7_S219_L001_R1_001.fastq.gz
GB8,2,Spring,2,Teabag,Green tea,Braunerde,Cambisol,4,FALSE,0.21,3.7.2018,100,1,220,22003.5,104282,1.87,1.98,156.1,13.7.2018; 31.7.2018,ITS,Petrova024-GB8_S226_L001_R1_001.fastq.gz
RB5,2,Spring,2,Teabag,Rooibos,Braunerde,Cambisol,1,FALSE,0.24,3.7.2018,100,1,45,4451.6,18704.4,1.93,1.51,48.7,13.7.2018; 31.7.2018,ITS,Petrova004-RB5_S206_L001_R1_001.fastq.gz
RB6,2,Spring,2,Teabag,Rooibos,Braunerde,Cambisol,2,FALSE,0.23,3.7.2018,100,1,30,3030.9,13470.6,1.98,1.3,22.7,13.7.2018; 31.7.2018,ITS,Petrova010-RB6_S212_L001_R1_001.fastq.gz
RB7,2,Spring,2,Teabag,Rooibos,Braunerde,Cambisol,3,FALSE,0.27,3.7.2018,100,1,33,3321.4,12533.7,1.9,1.64,37.6,13.7.2018; 31.7.2018,ITS,Petrova018-RB7_S220_L001_R1_001.fastq.gz
RB8,2,Spring,2,Teabag,Rooibos,Braunerde,Cambisol,4,FALSE,0.24,3.7.2018,100,1,26,2612.5,11117,1.9,1.83,23.3,13.7.2018; 31.7.2018,ITS,Petrova025-RB8_S227_L001_R1_001.fastq.gz
GA5,2,Spring,2,Teabag,Green tea,Auboden,Fluvisol,1,FALSE,0.22,3.7.2018,100,1,203,20254.4,92910.2,1.86,1.86,160.5,13.7.2018; 31.7.2018,ITS,Petrova005-GA5_S207_L001_R1_001.fastq.gz
GA6,2,Spring,2,Teabag,Green tea,Auboden,Fluvisol,2,FALSE,0.2,3.7.2018,100,1,360,36004.9,176494.6,1.89,2.05,185.6,13.7.2018; 31.7.2018,ITS,Petrova011-GA6_S213_L001_R1_001.fastq.gz
GA7,2,Spring,2,Teabag,Green tea,Auboden,Fluvisol,3,FALSE,0.21,3.7.2018,100,1,377,37745.3,177207.8,1.9,2.06,219.5,13.7.2018; 31.7.2018,ITS,Petrova019-GA7_S221_L001_R1_001.fastq.gz
GA8,2,Spring,2,Teabag,Green tea,Auboden,Fluvisol,4,FALSE,0.21,3.7.2018,100,1,289,28854.6,140070.7,1.86,1.91,188.3,13.7.2018; 31.7.2018,ITS,Petrova026-GA8_S228_L001_R1_001.fastq.gz
RA5,2,Spring,2,Teabag,Rooibos,Auboden,Fluvisol,1,FALSE,0.2,3.7.2018,100,1,14,1360.2,6835.4,1.79,1.35,16.2,13.7.2018; 31.7.2018,ITS,Petrova006-RA5_S208_L001_R1_001.fastq.gz
RA6,2,Spring,2,Teabag,Rooibos,Auboden,Fluvisol,2,FALSE,0.22,3.7.2018,100,1,71,7092.7,32093.7,1.8,1.42,35.2,13.7.2018; 31.7.2018,ITS,Petrova012-RA6_S214_L001_R1_001.fastq.gz
RA7,2,Spring,2,Teabag,Rooibos,Auboden,Fluvisol,3,FALSE,0.23,3.7.2018,100,1,20,2028.5,9015.5,1.67,1.32,12.7,13.7.2018; 31.7.2018,ITS,Petrova020-RA7_S222_L001_R1_001.fastq.gz
RA8,2,Spring,2,Teabag,Rooibos,Auboden,Fluvisol,4,FALSE,0.25,3.7.2018,100,1,42,4184.3,17078.9,1.81,1.45,30.8,13.7.2018; 31.7.2018,ITS,Petrova027-RA8_S229_L001_R1_001.fastq.gz
K1-2-1,2,Spring,2,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.26,3.7.2018,100,1,23,2336.5,8883.9,1.86,1.6,25.7,13.7.2018; 1.8.2018,ITS,Petrova007-K1-2-1_S209_L001_R1_001.fastq.gz
B1-2-1,2,Spring,2,Soil,Soil,Braunerde,Cambisol,1,FALSE,0.28,3.7.2018,100,1,133,13263.9,48232.3,1.83,1.95,66,13.7.2018; 1.8.2018,ITS,Petrova013-B1-2-1_S215_L001_R1_001.fastq.gz
A1-2-1,2,Spring,2,Soil,Soil,Auboden,Luvisol,1,FALSE,0.25,3.7.2018,100,1,86,8618.1,34610.7,1.87,1.73,41.6,13.7.2018; 1.8.2018,ITS,Petrova021-A1-2-1_S223_L001_R1_001.fastq.gz
blank extraction,2,Spring,2,Control,Control,NA,NA,1,TRUE,NA,3.7.2018,100,1,0,NA,NA,2.86,0.52,1.5,13.7.2018; 31.7.2018,ITS,Petrova008-blank-extr_S210_L001_R1_001.fastq.gz
K1-2-2,2,Spring,2,Soil,Soil,Kolluvisol,Luvisol,2,FALSE,0.26,1.8.2018,100,1,28,2800,10894.9,1.84,1.39,23.7,8.8.2018; 10.8.2018,ITS,Petrova029-K1-2-2_S231_L001_R1_001.fastq.gz
B1-2-2,2,Spring,2,Soil,Soil,Braunerde,Cambisol,2,FALSE,0.25,1.8.2018,100,1,46,4600,18254,1.84,1.86,37.2,8.8.2018; 10.8.2018,ITS,Petrova032-B1-2-2_S234_L001_R1_001.fastq.gz
A1-2-2,2,Spring,2,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.26,1.8.2018,100,1,25,2500,9727.6,1.87,1.6,25.3,8.8.2018; 10.8.2018,ITS,Petrova035-A1-2-2_S237_L001_R1_001.fastq.gz
A1-2-2,2,Spring,3,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.26,1.8.2018,100,1,25,2500,9727.6,1.87,1.6,25.3,8.8.2018; 10.8.2018,ITS,Roey034-A1-2-2_S179_L001_R1_001.fastq.gz
NTC,2,Spring,2,Control,Control,NA,NA,1,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,ITS,Petrova014-NTC_S216_L001_R1_001.fastq.gz
